Miles,ZONE,PER LB,MIN,Weight Break,Fuel
1,A,0.208,79.56,382.5,0.315
2,A,0.208,79.56,382.5,0.315
3,A,0.208,79.56,382.5,0.315
4,A,0.208,79.56,382.5,0.315
5,A,0.208,79.56,382.5,0.315
6,A,0.208,79.56,382.5,0.315
7,A,0.208,79.56,382.5,0.315
8,A,0.208,79.56,382.5,0.315
9,A,0.208,79.56,382.5,0.315
10,B,0.208,92.56,445,0.315
11,B,0.208,92.56,445,0.315
12,B,0.208,92.56,445,0.315
13,B,0.208,92.56,445,0.315
14,B,0.208,92.56,445,0.315
15,B,0.208,92.56,445,0.315
16,B,0.208,92.56,445,0.315
17,B,0.208,92.56,445,0.315
18,B,0.208,92.56,445,0.315
19,B,0.208,92.56,445,0.315
20,C,0.208,119.6,575,0.315
21,C,0.208,119.6,575,0.315
22,C,0.208,119.6,575,0.315
23,C,0.208,119.6,575,0.315
24,C,0.208,119.6,575,0.315
25,C,0.208,119.6,575,0.315
26,C,0.208,119.6,575,0.315
27,C,0.208,119.6,575,0.315
28,C,0.208,119.6,575,0.315
29,C,0.208,119.6,575,0.315
30,D,0.208,119.6,575,0.315
31,D,0.208,119.6,575,0.315
32,D,0.208,119.6,575,0.315
33,D,0.208,119.6,575,0.315
34,D,0.208,119.6,575,0.315
35,D,0.208,119.6,575,0.315
36,D,0.208,119.6,575,0.315
37,D,0.208,119.6,575,0.315
38,D,0.208,119.6,575,0.315
39,D,0.208,119.6,575,0.315
40,E,0.208,133.12,640,0.315
41,E,0.208,133.12,640,0.315
42,E,0.208,133.12,640,0.315
43,E,0.208,133.12,640,0.315
44,E,0.208,133.12,640,0.315
45,E,0.208,133.12,640,0.315
46,E,0.208,133.12,640,0.315
47,E,0.208,133.12,640,0.315
48,E,0.208,133.12,640,0.315
49,E,0.208,133.12,640,0.315
50,F,0.208,249.6,1200,0.315
51,F,0.208,249.6,1200,0.315
52,F,0.208,249.6,1200,0.315
53,F,0.208,249.6,1200,0.315
54,F,0.208,249.6,1200,0.315
55,F,0.208,249.6,1200,0.315
56,F,0.208,249.6,1200,0.315
57,F,0.208,249.6,1200,0.315
58,F,0.208,249.6,1200,0.315
59,F,0.208,249.6,1200,0.315
60,G,0.208,303.68,1460,0.315
61,G,0.208,303.68,1460,0.315
62,G,0.208,303.68,1460,0.315
63,G,0.208,303.68,1460,0.315
64,G,0.208,303.68,1460,0.315
65,G,0.208,303.68,1460,0.315
66,G,0.208,303.68,1460,0.315
67,G,0.208,303.68,1460,0.315
68,G,0.208,303.68,1460,0.315
69,G,0.208,303.68,1460,0.315
70,H,0.208,303.68,1460,0.315
71,H,0.208,303.68,1460,0.315
72,H,0.208,303.68,1460,0.315
73,H,0.208,303.68,1460,0.315
74,H,0.208,303.68,1460,0.315
75,H,0.208,303.68,1460,0.315
76,H,0.208,303.68,1460,0.315
77,H,0.208,303.68,1460,0.315
78,H,0.208,303.68,1460,0.315
79,H,0.208,303.68,1460,0.315
80,I,0.208,338,1625,0.315
81,I,0.208,338,1625,0.315
82,I,0.208,338,1625,0.315
83,I,0.208,338,1625,0.315
84,I,0.208,338,1625,0.315
85,I,0.208,338,1625,0.315
86,I,0.208,338,1625,0.315
87,I,0.208,338,1625,0.315
88,I,0.208,338,1625,0.315
89,I,0.208,338,1625,0.315
90,J,0.208,410.8,1975,0.315
91,J,0.208,410.8,1975,0.315
92,J,0.208,410.8,1975,0.315
93,J,0.208,410.8,1975,0.315
94,J,0.208,410.8,1975,0.315
95,J,0.208,410.8,1975,0.315
96,J,0.208,410.8,1975,0.315
97,J,0.208,410.8,1975,0.315
98,J,0.208,410.8,1975,0.315
99,J,0.208,410.8,1975,0.315
100,X,5.1,5.2,22000000,0.315
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
